uid,company_v,satis,pq,VN_1009_TP07,VN_1009_TP08,VN_1009_TP14,VN_1009_TP15,VN_1009_TP19,Incomplete?,,,,,,,,,,,,,,,,,
19,AMAZON,8,7,7,9,6,6,7,0,,,,,,,,,,,,,,,,,
21,AMAZON,8,7,8,9,6,8,6,0,,,,,,,,,,,,,,,,,
55,AMAZON,7,7,6,8,6,7,6,0,,,,,,,,,,,,,,,,,
77,AMAZON,9,9,10,9,10,9,10,0,,,,,,,,,,,,,,,,,
175,AMAZON,8,7,8,8,7,7,7,0,,,,,,,,,,,,,,,,,
285,AMAZON,7,7,9,7,6,7,6,0,,,,,,,,,,,,,,,,,
305,AMAZON,7,8,8,7,6,6,6,0,,,,,,,,,,,,,,,,,
362,AMAZON,7,7,6,6,6,8,6,0,,,,,,,,,,,,,,,,,
391,AMAZON,8,7,7,9,6,8,6,0,,,,,,,,,,,,,,,,,
424,AMAZON,7,8,6,8,6,8,6,0,,,,,,,,,,,,,,,,,
429,AMAZON,8,8,7,9,7,8,6,0,,,,,,,,,,,,,,,,,
438,AMAZON,9,8,9,9,8,9,7,0,,,,,,,,,,,,,,,,,
456,AMAZON,7,7,8,9,8,8,7,0,,,,,,,,,,,,,,,,,
470,AMAZON,6,7,6,8,6,8,8,0,,,,,,,,,,,,,,,,,
497,AMAZON,7,7,8,8,6,8,7,0,,,,,,,,,,,,,,,,,
513,AMAZON,8,8,8,8,7,7,8,0,,,,,,,,,,,,,,,,,
519,AMAZON,10,9,9,10,8,10,9,0,,,,,,,,,,,,,,,,,
526,AMAZON,8,8,8,8,9,7,7,0,,,,,,,,,,,,,,,,,
539,AMAZON,9,9,10,9,9,10,9,0,,,,,,,,,,,,,,,,,
601,AMAZON,8,8,7,8,8,8,8,0,,,,,,,,,,,,,,,,,
699,AMAZON,8,8,7,8,7,8,7,0,,,,,,,,,,,,,,,,,
701,AMAZON,8,7,9,8,8,9,7,0,,,,,,,,,,,,,,,,,
715,AMAZON,7,7,8,6,7,7,7,0,,,,,,,,,,,,,,,,,
757,AMAZON,6,6,7,6,6,6,7,0,,,,,,,,,,,,,,,,,
777,AMAZON,6,7,7,6,6,7,7,0,,,,,,,,,,,,,,,,,
825,AMAZON,8,8,8,9,7,9,7,0,,,,,,,,,,,,,,,,,
842,AMAZON,9,9,8,10,9,9,9,0,,,,,,,,,,,,,,,,,
852,AMAZON,9,9,9,10,8,9,9,0,,,,,,,,,,,,,,,,,
949,AMAZON,7,7,7,7,6,7,7,0,,,,,,,,,,,,,,,,,
958,AMAZON,4,4,4,4,6,5,5,0,,,,,,,,,,,,,,,,,
967,AMAZON,7,7,7,8,8,6,6,0,,,,,,,,,,,,,,,,,
995,AMAZON,7,7,8,7,7,7,7,0,,,,,,,,,,,,,,,,,
1010,AMAZON,6,6,7,6,6,6,6,0,,,,,,,,,,,,,,,,,
1019,AMAZON,8,8,8,7,9,8,8,0,,,,,,,,,,,,,,,,,
1117,AMAZON,8,7,7,7,8,8,8,0,,,,,,,,,,,,,,,,,
1163,AMAZON,8,7,6,7,8,7,7,0,,,,,,,,,,,,,,,,,
1284,AMAZON,7,7,7,7,8,8,7,0,,,,,,,,,,,,,,,,,
1290,AMAZON,9,10,9,9,10,10,8,0,,,,,,,,,,,,,,,,,
1344,AMAZON,9,8,7,8,8,7,8,0,,,,,,,,,,,,,,,,,
1359,AMAZON,6,7,7,7,7,6,6,0,,,,,,,,,,,,,,,,,
1370,AMAZON,10,10,9,10,10,9,9,0,,,,,,,,,,,,,,,,,
1373,AMAZON,7,7,6,6,6,7,6,0,,,,,,,,,,,,,,,,,
1377,AMAZON,7,6,6,7,6,7,7,0,,,,,,,,,,,,,,,,,
1385,AMAZON,8,7,7,8,9,7,8,0,,,,,,,,,,,,,,,,,
1403,AMAZON,7,6,7,8,6,7,7,0,,,,,,,,,,,,,,,,,
1445,AMAZON,7,6,7,7,7,6,6,0,,,,,,,,,,,,,,,,,
1470,AMAZON,8,7,8,8,7,9,7,0,,,,,,,,,,,,,,,,,
1503,AMAZON,7,7,7,8,7,8,7,0,,,,,,,,,,,,,,,,,
1529,AMAZON,9,9,8,10,9,9,9,0,,,,,,,,,,,,,,,,,
1533,AMAZON,6,7,7,6,6,7,6,0,,,,,,,,,,,,,,,,,
1548,AMAZON,8,7,7,8,8,7,8,0,,,,,,,,,,,,,,,,,
1570,AMAZON,7,7,6,8,7,7,7,0,,,,,,,,,,,,,,,,,
1586,AMAZON,8,9,9,7,8,8,9,0,,,,,,,,,,,,,,,,,
1643,AMAZON,7,8,7,6,6,6,6,0,,,,,,,,,,,,,,,,,
1651,AMAZON,6,6,6,7,6,6,7,0,,,,,,,,,,,,,,,,,
1681,AMAZON,8,7,9,7,9,7,7,0,,,,,,,,,,,,,,,,,
1718,AMAZON,8,7,7,9,7,8,7,0,,,,,,,,,,,,,,,,,
1738,AMAZON,7,8,8,6,8,7,7,0,,,,,,,,,,,,,,,,,
1744,AMAZON,7,6,7,7,7,6,7,0,,,,,,,,,,,,,,,,,
1833,AMAZON,8,8,10,8,9,9,10,0,,,,,,,,,,,,,,,,,
1834,AMAZON,10,9,10,8,9,9,9,0,,,,,,,,,,,,,,,,,
1846,AMAZON,9,10,9,9,10,10,9,0,,,,,,,,,,,,,,,,,
1901,AMAZON,8,7,7,9,7,9,7,0,,,,,,,,,,,,,,,,,
1907,AMAZON,6,6,7,6,6,7,7,0,,,,,,,,,,,,,,,,,
1941,AMAZON,8,7,8,8,6,6,6,0,,,,,,,,,,,,,,,,,
1947,AMAZON,7,6,7,8,6,7,6,0,,,,,,,,,,,,,,,,,
1969,AMAZON,8,7,8,8,7,8,6,0,,,,,,,,,,,,,,,,,
2130,AMAZON,7,7,9,8,8,7,8,0,,,,,,,,,,,,,,,,,
2147,AMAZON,8,8,6,7,8,8,8,0,,,,,,,,,,,,,,,,,
2159,AMAZON,4,2,6,5,6,6,5,0,,,,,,,,,,,,,,,,,
2355,AMAZON,7,6,6,8,8,6,7,0,,,,,,,,,,,,,,,,,
2423,AMAZON,8,8,9,8,8,7,8,0,,,,,,,,,,,,,,,,,
2449,AMAZON,7,7,8,8,6,6,7,0,,,,,,,,,,,,,,,,,
2483,AMAZON,9,8,7,10,10,8,9,0,,,,,,,,,,,,,,,,,
2542,AMAZON,8,9,9,9,7,9,7,0,,,,,,,,,,,,,,,,,
2611,AMAZON,8,8,9,8,8,8,7,0,,,,,,,,,,,,,,,,,
2617,AMAZON,7,7,8,7,7,7,7,0,,,,,,,,,,,,,,,,,
2632,AMAZON,10,9,9,10,9,9,9,0,,,,,,,,,,,,,,,,,
2653,AMAZON,6,7,7,6,6,6,7,0,,,,,,,,,,,,,,,,,
2733,AMAZON,8,9,8,8,6,9,6,0,,,,,,,,,,,,,,,,,
2746,AMAZON,8,9,8,6,6,9,8,0,,,,,,,,,,,,,,,,,
2777,AMAZON,7,7,6,8,7,8,8,0,,,,,,,,,,,,,,,,,
2793,AMAZON,9,10,8,8,9,8,8,0,,,,,,,,,,,,,,,,,
2809,AMAZON,7,9,9,8,7,9,6,0,,,,,,,,,,,,,,,,,
2844,AMAZON,8,8,6,7,7,9,9,0,,,,,,,,,,,,,,,,,
2883,AMAZON,6,6,6,7,6,6,6,0,,,,,,,,,,,,,,,,,
2917,AMAZON,8,7,6,7,10,8,7,0,,,,,,,,,,,,,,,,,
2936,AMAZON,8,8,7,8,7,8,8,0,,,,,,,,,,,,,,,,,
2996,AMAZON,5,4,5,6,4,5,6,0,,,,,,,,,,,,,,,,,
3023,AMAZON,6,7,7,6,6,8,7,0,,,,,,,,,,,,,,,,,
3059,AMAZON,8,7,7,6,8,6,9,0,,,,,,,,,,,,,,,,,
3095,AMAZON,8,8,10,8,9,7,8,0,,,,,,,,,,,,,,,,,
3196,AMAZON,8,8,8,7,8,8,6,0,,,,,,,,,,,,,,,,,
3229,AMAZON,3,4,6,7,7,6,3,0,,,,,,,,,,,,,,,,,
3327,AMAZON,8,9,6,8,9,9,8,0,,,,,,,,,,,,,,,,,
3402,AMAZON,7,7,8,7,7,9,7,0,,,,,,,,,,,,,,,,,
3433,AMAZON,8,8,8,7,8,9,6,0,,,,,,,,,,,,,,,,,
3492,AMAZON,9,10,7,10,9,9,8,0,,,,,,,,,,,,,,,,,
3500,AMAZON,9,9,9,8,9,8,8,0,,,,,,,,,,,,,,,,,
3508,AMAZON,9,9,8,10,8,9,8,0,,,,,,,,,,,,,,,,,
3513,AMAZON,8,9,8,7,7,7,7,0,,,,,,,,,,,,,,,,,
3573,AMAZON,6,6,6,7,8,6,7,0,,,,,,,,,,,,,,,,,
3579,AMAZON,8,9,7,7,7,7,7,0,,,,,,,,,,,,,,,,,
3587,AMAZON,9,7,8,7,8,9,8,0,,,,,,,,,,,,,,,,,
3635,AMAZON,7,9,7,7,6,7,7,0,,,,,,,,,,,,,,,,,
3751,AMAZON,8,8,7,9,8,7,8,0,,,,,,,,,,,,,,,,,
3785,AMAZON,8,9,9,8,9,8,9,0,,,,,,,,,,,,,,,,,
3886,AMAZON,8,7,10,10,7,8,7,0,,,,,,,,,,,,,,,,,
3905,AMAZON,8,9,8,7,9,7,8,0,,,,,,,,,,,,,,,,,
