uid,company_v,satis,pq,VN_1009_TP04,VN_1009_TP05,VN_1009_TP07,VN_1009_TP14,VN_1009_TP19,Incomplete?
20,QOO10,8,8,8,7,7,6,6,0
87,QOO10,7,7,6,6,7,6,7,0
89,QOO10,7,8,6,6,7,6,6,0
95,QOO10,8,8,7,7,8,8,8,0
140,QOO10,8,7,8,7,7,8,8,0
294,QOO10,8,8,7,6,8,6,6,0
302,QOO10,7,7,8,7,8,7,6,0
303,QOO10,7,7,6,7,8,6,6,0
324,QOO10,7,7,8,7,7,7,7,0
346,QOO10,7,8,7,7,6,6,6,0
367,QOO10,7,8,7,6,7,6,6,0
432,QOO10,8,8,8,7,8,6,7,0
443,QOO10,8,8,7,9,7,6,6,0
469,QOO10,7,7,6,6,7,7,6,0
473,QOO10,7,8,6,8,7,8,6,0
559,QOO10,8,8,8,7,8,7,8,0
569,QOO10,8,8,8,9,7,8,8,0
573,QOO10,8,8,7,8,7,6,7,0
622,QOO10,8,8,8,9,8,7,7,0
649,QOO10,6,6,6,7,6,6,6,0
661,QOO10,9,9,10,9,8,10,9,0
740,QOO10,8,8,7,8,6,7,7,0
762,QOO10,10,9,9,8,9,10,8,0
767,QOO10,7,8,7,8,7,6,7,0
776,QOO10,6,7,7,6,7,6,7,0
781,QOO10,7,8,7,6,7,8,7,0
802,QOO10,8,7,8,7,8,8,8,0
820,QOO10,8,8,7,8,8,7,7,0
838,QOO10,7,7,7,6,7,6,6,0
849,QOO10,8,8,8,9,9,8,8,0
889,QOO10,8,8,8,9,7,8,9,0
984,QOO10,8,8,8,9,8,9,7,0
999,QOO10,9,9,9,10,10,10,9,0
1035,QOO10,8,8,7,8,8,7,8,0
1037,QOO10,8,8,8,9,9,8,8,0
1071,QOO10,10,10,10,9,10,9,9,0
1108,QOO10,7,7,9,8,7,8,8,0
1110,QOO10,8,6,8,7,6,7,7,0
1139,QOO10,6,7,7,6,7,6,6,0
1154,QOO10,8,7,8,7,6,8,7,0
1161,QOO10,8,7,8,8,8,8,8,0
1264,QOO10,7,7,8,7,8,8,6,0
1270,QOO10,8,9,8,7,8,7,8,0
1311,QOO10,6,6,8,7,6,6,8,0
1329,QOO10,7,6,8,7,6,7,7,0
1444,QOO10,9,10,10,10,10,10,9,0
1477,QOO10,8,8,8,7,7,8,8,0
1487,QOO10,7,7,7,6,7,6,6,0
1495,QOO10,9,10,9,10,9,8,8,0
1512,QOO10,7,7,7,6,7,6,6,0
1515,QOO10,7,7,7,7,8,7,7,0
1553,QOO10,8,8,8,7,8,7,8,0
1562,QOO10,7,7,7,7,7,6,6,0
1581,QOO10,9,8,10,10,10,9,10,0
1583,QOO10,8,7,9,8,7,8,8,0
1589,QOO10,7,8,6,8,7,7,7,0
1641,QOO10,9,8,10,9,8,9,10,0
1656,QOO10,7,8,8,8,8,7,7,0
1669,QOO10,8,8,8,8,8,7,7,0
1746,QOO10,8,8,8,8,8,7,7,0
1763,QOO10,8,7,9,9,8,7,9,0
1849,QOO10,7,6,6,7,6,6,6,0
1853,QOO10,7,7,9,8,7,8,7,0
1913,QOO10,8,8,8,7,8,9,8,0
1979,QOO10,8,8,7,6,7,6,6,0
2020,QOO10,8,8,7,8,6,8,8,0
2032,QOO10,7,8,8,7,8,7,6,0
2047,QOO10,8,9,7,7,6,10,6,0
2053,QOO10,8,9,7,9,7,7,6,0
2060,QOO10,8,7,8,8,7,7,8,0
2094,QOO10,4,5,8,7,3,3,4,0
2168,QOO10,8,8,7,6,8,8,9,0
2175,QOO10,8,7,7,8,9,6,7,0
2208,QOO10,8,7,7,7,8,9,7,0
2246,QOO10,8,6,9,7,9,8,8,0
2256,QOO10,6,6,8,6,6,8,7,0
2258,QOO10,9,9,10,9,10,9,8,0
2348,QOO10,8,7,8,7,8,9,8,0
2352,QOO10,4,2,6,6,5,7,4,0
2393,QOO10,10,10,8,8,7,10,10,0
2401,QOO10,9,8,7,7,7,9,7,0
2485,QOO10,8,9,8,9,9,8,7,0
2520,QOO10,4,4,6,6,6,7,5,0
2535,QOO10,8,9,8,8,7,10,8,0
2601,QOO10,8,8,7,6,8,9,8,0
2609,QOO10,8,8,9,8,6,7,7,0
2648,QOO10,7,8,7,9,7,6,7,0
2676,QOO10,9,9,8,8,9,9,8,0
2694,QOO10,7,7,8,8,7,7,7,0
2722,QOO10,7,7,8,8,7,8,7,0
2760,QOO10,7,7,9,6,7,8,7,0
2773,QOO10,9,10,8,9,8,8,9,0
2796,QOO10,10,9,10,7,8,7,8,0
2845,QOO10,3,4,8,2,4,4,4,0
2864,QOO10,8,7,8,8,6,7,9,0
2868,QOO10,8,8,8,9,8,6,9,0
2881,QOO10,8,6,10,8,9,6,7,0
3047,QOO10,8,9,9,6,10,9,7,0
3139,QOO10,7,7,8,9,7,9,7,0
3188,QOO10,9,9,8,8,8,9,9,0
3194,QOO10,8,6,6,9,8,8,8,0
3210,QOO10,9,8,9,8,9,9,10,0
3253,QOO10,9,7,7,9,7,10,9,0
3306,QOO10,7,8,7,6,6,10,7,0
3398,QOO10,8,7,9,7,8,9,8,0
3413,QOO10,8,7,8,7,6,8,8,0
3431,QOO10,8,9,7,8,9,8,8,0
3460,QOO10,8,9,9,9,8,7,9,0
3465,QOO10,8,6,7,8,9,8,7,0
3485,QOO10,8,8,8,10,8,8,7,0
3528,QOO10,8,8,6,8,8,6,7,0
3532,QOO10,8,8,7,9,8,8,7,0
3728,QOO10,9,8,8,10,10,8,7,0
3729,QOO10,8,7,8,7,8,7,8,0
3734,QOO10,6,8,7,8,6,8,6,0
3794,QOO10,8,9,8,8,8,7,7,0
3814,QOO10,8,6,9,7,8,7,7,0
3874,QOO10,7,7,8,7,9,6,6,0
3925,QOO10,4,2,7,7,5,4,7,0
3926,QOO10,4,4,8,8,6,5,1,0
3966,QOO10,8,8,7,8,7,8,8,0
3998,QOO10,8,7,8,7,8,8,9,0
4036,QOO10,8,8,8,8,6,7,9,0
4079,QOO10,7,9,8,9,10,9,8,0
4088,QOO10,7,7,9,7,10,6,7,0
4142,QOO10,7,6,9,7,9,8,7,0
4147,QOO10,8,9,7,7,9,6,9,0
4157,QOO10,7,7,8,9,9,9,7,0
4232,QOO10,3,5,2,7,6,6,4,0
4233,QOO10,6,6,7,6,7,7,7,0
4260,QOO10,9,8,9,8,10,10,9,0
4338,QOO10,7,8,8,6,6,8,7,0
4384,QOO10,8,9,7,8,7,7,7,0
4441,QOO10,9,8,8,10,8,8,9,0
4460,QOO10,6,8,8,6,6,7,7,0
4483,QOO10,8,8,8,9,7,8,7,0
4642,QOO10,7,7,8,8,6,6,7,0
4662,QOO10,8,8,7,8,9,6,6,0
4698,QOO10,7,8,8,7,9,7,8,0
4730,QOO10,9,10,9,9,9,9,7,0
4825,QOO10,7,6,9,8,8,8,7,0
4840,QOO10,5,5,4,4,6,6,7,0
4931,QOO10,8,8,8,7,6,6,7,0
4966,QOO10,7,7,8,9,9,6,9,0
5038,QOO10,9,9,7,9,7,8,7,0
5061,QOO10,8,7,7,8,6,7,8,0
5135,QOO10,8,7,7,7,6,9,8,0
5219,QOO10,9,9,9,8,10,10,9,0
5262,QOO10,7,8,9,7,7,7,7,0
5365,QOO10,7,9,7,8,7,8,6,0
5389,QOO10,7,8,7,8,7,6,7,0
5445,QOO10,9,9,9,9,8,9,8,0
5466,QOO10,8,8,8,7,7,8,8,0
5547,QOO10,8,8,9,8,9,8,8,0
5645,QOO10,9,9,9,8,9,8,9,0
5685,QOO10,8,9,8,7,9,9,8,0
5726,QOO10,9,9,9,9,9,7,8,0
5798,QOO10,8,8,7,7,9,7,7,0
5886,QOO10,8,7,7,7,6,8,7,0
6020,QOO10,8,7,9,7,9,7,8,0
