uid,company_v,satis,poverq,pq,VN_1009_TP01,VN_1009_TP02,VN_1009_TP03,VN_1009_TP04,VN_1009_TP05,VN_1009_TP06,VN_1009_TP07,VN_1009_TP08,VN_1009_TP09,VN_1009_TP10,VN_1009_TP11,VN_1009_TP12,VN_1009_TP13,VN_1009_TP14,VN_1009_TP15,VN_1009_TP16,VN_1009_TP17,VN_1009_TP18,VN_1009_TP19,Incomplete?
19,AMAZON,8,8,7,9,8,6,6,7,8,7,9,6,7,8,8,7,6,6,7,7,6,7,0
21,AMAZON,8,7,7,9,9,7,8,9,6,8,9,6,8,9,7,8,6,8,6,8,6,6,0
55,AMAZON,7,8,7,7,7,8,6,7,6,6,8,7,8,8,9,8,6,7,8,7,6,6,0
77,AMAZON,9,8,9,9,8,10,8,9,10,10,9,9,8,9,8,10,10,9,9,8,8,10,0
175,AMAZON,8,7,7,8,8,9,8,6,7,8,8,7,8,8,6,6,7,7,6,8,7,7,0
285,AMAZON,7,7,7,8,9,7,7,8,6,9,7,6,8,8,9,7,6,7,8,8,9,6,0
305,AMAZON,7,7,8,7,9,7,8,7,9,8,7,7,8,7,6,7,6,6,8,7,7,6,1
348,AMAZON,8,8,6,8,8,6,7,6,8,6,9,7,7,7,8,6,6,8,6,6,7,7,1
362,AMAZON,7,8,7,7,8,7,9,7,6,6,6,7,8,7,9,7,6,8,8,9,7,6,0
391,AMAZON,8,7,7,7,8,6,6,8,6,7,9,6,7,8,9,7,6,8,8,9,8,6,0
424,AMAZON,7,8,8,7,9,7,8,7,7,6,8,9,7,7,8,7,6,8,7,8,8,6,0
429,AMAZON,8,7,8,7,8,6,7,6,7,7,9,6,8,8,7,6,7,8,7,8,8,6,0
438,AMAZON,9,9,8,7,9,8,7,8,8,9,9,9,8,9,9,9,8,9,8,8,7,7,0
456,AMAZON,7,7,7,8,9,7,8,8,6,8,9,7,7,8,7,9,8,8,7,8,7,7,0
470,AMAZON,6,8,7,7,8,8,8,7,6,6,8,6,6,7,7,6,6,8,8,7,8,8,0
47,AMAZON,7,7,7,7,6,8,6,7,7,8,8,6,8,7,7,8,6,8,7,7,6,7,0
513,AMAZON,8,8,8,9,7,8,8,7,9,8,8,9,7,9,8,8,7,7,9,7,8,8,0
519,AMAZON,10,9,9,10,8,9,9,8,10,9,10,8,10,9,9,10,8,10,9,9,8,9,0
526,AMAZON,8,8,8,9,7,8,8,7,9,8,8,7,9,8,8,8,9,7,9,8,8,7,0
539,AMAZON,9,9,9,10,8,9,9,10,8,10,9,9,10,8,10,9,9,10,8,8,10,9,0
601,AMAZON,8,8,8,9,7,8,8,7,9,7,8,8,7,7,9,7,8,8,8,7,7,8,0
67,AMAZON,8,8,8,9,7,8,8,7,9,7,8,8,9,7,7,9,7,8,8,7,9,7,0
701,AMAZON,8,8,7,9,7,8,8,7,7,9,8,8,9,7,9,8,8,9,7,8,8,7,0
715,AMAZON,7,7,7,8,6,7,7,6,8,8,6,7,7,6,8,6,7,7,6,8,6,7,0
757,AMAZON,6,7,6,7,6,6,7,6,7,7,6,6,7,6,7,7,6,6,7,6,6,7,0
777,AMAZON,6,6,7,7,6,6,7,7,6,7,6,6,7,6,7,6,6,7,7,6,6,7,0
825,AMAZON,8,8,8,9,7,8,8,7,9,8,9,7,8,8,9,7,7,9,7,8,8,7,0
842,AMAZON,9,9,9,8,10,9,9,10,8,8,10,8,9,9,10,8,9,9,8,8,10,9,0
852,AMAZON,9,9,9,10,8,9,9,8,10,9,10,8,9,9,8,10,8,9,9,8,10,9,0
949,AMAZON,7,7,7,8,6,7,7,6,8,7,7,6,8,7,7,8,6,7,6,8,7,7,0
958,AMAZON,4,4,4,7,6,7,7,6,7,4,4,5,6,7,6,4,6,5,3,4,4,5,0
967,AMAZON,7,7,7,8,6,7,7,6,8,7,8,6,7,7,6,8,8,6,7,7,7,6,0
75,AMAZON,7,7,7,8,6,7,7,8,6,8,7,7,8,6,6,8,7,7,8,6,8,7,0
1010,AMAZON,6,7,6,7,6,6,7,7,6,7,6,6,7,7,6,7,6,6,7,7,6,6,0
1019,AMAZON,8,8,8,8,7,7,9,7,8,8,7,9,8,8,9,7,9,8,8,8,7,8,0
1117,AMAZON,8,9,7,8,7,9,9,8,9,7,7,8,8,7,9,9,8,8,7,9,7,8,0
1163,AMAZON,8,7,7,7,6,8,8,7,8,6,7,7,6,8,8,7,8,7,8,6,7,7,0
1284,AMAZON,7,8,7,7,6,8,7,8,6,7,7,8,6,8,7,7,8,8,6,8,7,7,0
1290,AMAZON,9,9,10,8,8,10,9,10,8,9,9,8,10,8,9,9,10,10,8,9,9,8,0
1344,AMAZON,9,9,8,8,7,9,9,8,9,7,8,8,7,9,9,8,8,7,7,9,8,8,0
1359,AMAZON,6,7,7,6,7,7,6,7,6,7,7,6,7,6,6,7,7,6,6,7,7,6,0
1370,AMAZON,10,10,10,10,9,9,10,9,10,9,10,9,9,10,10,9,10,9,10,10,9,9,0
1373,AMAZON,7,7,7,7,6,7,7,6,7,6,6,7,7,6,7,6,6,7,6,7,6,6,0
1377,AMAZON,7,6,6,7,6,8,8,7,8,6,7,7,6,8,7,7,6,7,7,6,8,7,0
1385,AMAZON,8,9,7,8,7,9,9,8,9,7,8,8,7,9,9,8,9,7,9,9,8,8,0
1403,AMAZON,7,8,6,7,7,6,8,8,7,7,8,6,7,7,8,8,6,7,6,8,8,7,0
1445,AMAZON,7,7,6,6,7,7,6,7,6,7,7,6,6,7,7,6,7,6,7,7,6,6,0
