uid,company_v,satis,poverq,pq,VN_1009_TP01,VN_1009_TP02,VN_1009_TP03,VN_1009_TP04,VN_1009_TP05,VN_1009_TP06,VN_1009_TP07,VN_1009_TP08,VN_1009_TP09,VN_1009_TP10,VN_1009_TP11,VN_1009_TP12,VN_1009_TP13,VN_1009_TP14,VN_1009_TP15,VN_1009_TP16,VN_1009_TP17,VN_1009_TP18,VN_1009_TP19,Incomplete?
20,QOO10,8,7,8,8,9,8,8,7,6,7,6,6,8,8,7,8,6,6,7,8,6,6,0
87,QOO10,7,7,7,9,7,8,6,6,6,7,6,8,9,8,7,7,6,6,7,9,8,7,0
89,QOO10,7,6,8,8,8,7,6,6,6,7,6,6,8,6,7,7,6,6,8,7,6,6,0
95,QOO10,8,8,8,7,7,8,7,7,8,8,8,8,8,8,7,8,8,8,7,7,8,8,0
140,QOO10,8,7,7,7,8,8,8,7,7,7,8,7,8,7,8,7,8,7,7,7,7,8,0
294,QOO10,8,7,8,9,8,7,7,6,6,8,7,7,9,8,6,7,6,6,7,8,7,6,0
302,QOO10,7,7,7,8,6,6,8,7,7,8,8,6,7,9,7,8,7,6,8,8,7,6,0
303,QOO10,7,8,7,6,7,6,6,7,6,8,7,6,9,7,6,6,6,6,8,7,8,6,0
324,QOO10,7,8,7,9,7,8,8,7,6,7,6,8,7,7,8,6,7,8,8,7,9,7,0
346,QOO10,7,7,8,9,8,9,7,7,6,6,6,7,8,8,7,7,6,6,7,8,8,6,0
367,QOO10,7,7,8,9,8,7,7,6,8,7,6,6,8,7,8,6,6,6,7,7,6,6,0
432,QOO10,8,7,8,9,7,8,8,7,7,8,6,6,7,9,7,8,6,6,7,8,8,7,0
443,QOO10,8,7,8,9,8,7,7,9,8,7,6,6,8,9,8,7,6,7,7,8,8,6,0
469,QOO10,7,7,7,7,8,6,6,6,8,7,6,6,8,8,9,7,7,6,7,8,8,6,0
473,QOO10,7,8,8,9,7,7,6,8,9,7,6,6,8,8,9,7,8,6,8,9,7,6,0
559,QOO10,8,8,8,9,7,8,8,7,9,8,9,7,8,8,7,9,7,8,8,8,7,8,0
569,QOO10,8,9,8,9,7,8,8,9,7,7,9,8,8,9,7,8,8,7,7,9,7,8,0
573,QOO10,8,7,8,7,6,8,7,8,6,7,7,6,8,7,7,8,6,8,7,7,8,7,0
622,QOO10,8,8,8,8,7,9,8,9,7,8,8,7,9,8,8,7,7,9,7,8,8,7,0
649,QOO10,6,7,6,7,7,6,6,7,6,6,7,6,6,7,6,7,6,6,7,7,6,6,0
661,QOO10,9,9,9,10,10,8,10,9,9,8,10,9,9,10,8,8,10,8,9,9,8,9,0
740,QOO10,8,8,8,8,6,7,7,8,6,6,8,7,7,8,6,7,7,6,8,7,7,7,0
762,QOO10,10,9,9,10,8,9,9,8,10,9,9,10,8,9,9,8,10,10,8,9,8,8,0
767,QOO10,7,7,8,8,6,7,7,8,6,7,7,6,8,7,7,8,6,8,7,7,8,7,0
776,QOO10,6,7,7,7,6,6,7,6,7,7,6,7,6,6,7,7,6,6,7,6,7,7,0
781,QOO10,7,7,8,8,6,7,7,6,8,7,7,8,6,8,7,7,8,6,8,7,7,7,0
